title,owner,folderflag,filename,fileextension,revision,changenumber,status,documentsummary,document,rowguid,modifieddate,documentnode
Documents,217,True,Documents,None,0    ,0,2,None,None,27cf33af-c338-4842-966c-75ca11aaa6a3,2017-12-13 13:58:03.943000,/
Overview,217,True,Overview,None,0    ,0,2,None,None,26a266f1-1d23-40e2-af48-6ab8d954fe37,2017-12-13 13:58:03.977000,/1/
Introduction 1,219,False,Introduction 1.doc,.doc,4    ,28,2,None,<memory at 0x7fc069212580>,48265174-8451-4967-973a-639c2276cfaf,2013-05-30 00:00:00,/1/1/
Repair and Service Guidelines,220,False,Repair and Service Guidelines.doc,.doc,0    ,8,2,It is important that you maintain your bicycle and keep it in good repair. Detailed repair and service guidelines are provided along with instructions for adjusting the tightness of the suspension fork.\n\n,<memory at 0x7fc0693cbb80>,7ed4def5-d5bb-4818-8748-5bb5f8315fa2,2008-03-31 00:00:00,/1/2/
Maintenance,217,True,Maintenance,None,0    ,0,2,None,None,5184d96a-ee8c-499a-9316-625496784de6,2017-12-13 13:58:04.007000,/2/
Crank Arm and Tire Maintenance,219,False,Crank Arm and Tire Maintenance.doc,.doc,0    ,0,1,None,<memory at 0x7fc06a4f8400>,d11b82b0-eb40-4a66-8193-15f765a61f05,2012-10-19 09:56:38.273000,/2/1/
Lubrication Maintenance,219,False,Lubrication Maintenance.doc,.doc,2    ,11,1,Guidelines and recommendations for lubricating the required components of your Adventure Works Cycles bicycle. Component lubrication is vital to ensuring a smooth and safe ride and should be part of your standard maintenance routine. Details instructions are provided for each bicycle component requiring regular lubrication including the frequency at which oil or grease should be applied. \n,<memory at 0x7fc069199700>,2a8bd319-36fb-4fba-9e07-e303839f1974,2013-05-30 00:00:00,/2/2/
Assembly,217,True,Assembly,None,0    ,0,2,None,None,f4f544ae-381a-4323-9a59-f5a629e21f46,2017-12-13 13:58:04.037000,/3/
Front Reflector Bracket and Reflector Assembly 3,220,False,Front Reflector Bracket and Reflector Assembly 3.doc,.doc,3    ,25,2,None,<memory at 0x7fc069199b80>,82f61d73-0bf5-44ff-ab99-dd73aee9b9cc,2012-04-30 00:00:00,/3/1/
Front Reflector Bracket Installation,220,False,Front Reflector Bracket Installation.doc,.doc,1    ,15,2,Reflectors are vital safety components of your bicycle. Always ensure your front and back reflectors are clean and in good repair. Detailed instructions and illustrations are included should you need to replace the front reflector or front reflector bracket of your Adventure Works Cycles bicycle.\n\n,<memory at 0x7fc069199940>,52f6be23-5363-4d93-96ae-f714b851e52c,2012-04-30 00:00:00,/3/2/
Installing Replacement Pedals,220,False,Installing Replacement Pedals.doc,.doc,0    ,32,2,Detailed instructions for replacing pedals with Adventure Works Cycles replacement pedals.  Instructions are applicable to all Adventure Works Cycles bicycle models and replacement pedals. Use only Adventure Works Cycles parts when replacing worn or broken components. \n,<memory at 0x7fc069199e80>,7ee72c7e-9800-44c1-b82d-6e34e8289ca1,2012-04-30 00:00:00,/3/3/
Seat Assembly,219,False,Seat Assembly.doc,.doc,8    ,55,2,Worn or damaged seats can be easily replaced following these simple instructions.  Instructions are applicable to these  Adventure Works Cycles models: Mountain 100 through Mountain 500. Use only Adventure Works Cycles parts when replacing worn or broken components. \n\n,<memory at 0x7fc069199a00>,79d41fe8-39d7-4591-9a05-285a3e1aafcb,2013-04-30 00:00:00,/3/4/
Training Wheels 2,220,False,Training Wheels 2.doc,.doc,1    ,288,3,None,<memory at 0x7fc069199d00>,b706c1d6-fb99-40b5-844c-6ee54701ba0d,2013-05-30 00:00:00,/3/5/
