productid,name,productnumber,makeflag,finishedgoodsflag,color,safetystocklevel,reorderpoint,standardcost,listprice,size,sizeunitmeasurecode,weightunitmeasurecode,weight,daystomanufacture,productline,class,style,productsubcategoryid,productmodelid,sellstartdate,sellenddate,discontinueddate,rowguid,modifieddate
1,Adjustable Race,AR-5381,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,694215b7-08f7-4c0d-acb1-d734ba44c0c8,2014-02-08 10:01:36.827000
2,Bearing Ball,BA-8327,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,58ae3c20-4f3a-4749-a7d4-d568806cc537,2014-02-08 10:01:36.827000
3,BB Ball Bearing,BE-2349,True,False,None,800,600,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,9c21aed2-5bfa-4f18-bcb8-f11638dc2e4e,2014-02-08 10:01:36.827000
4,Headset Ball Bearings,BE-2908,False,False,None,800,600,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,ecfed6cb-51ff-49b5-b06c-7d8ac834db8b,2014-02-08 10:01:36.827000
316,Blade,BL-2036,True,False,None,800,600,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,e73e9750-603b-4131-89f5-3dd15ed5ff80,2014-02-08 10:01:36.827000
317,LL Crankarm,CA-5965,False,False,Black,500,375,0,0,None,None,None,None,0,None,L ,None,None,None,2008-04-30 00:00:00,None,None,3c9d10b7-a6b2-4774-9963-c19dcee72fea,2014-02-08 10:01:36.827000
318,ML Crankarm,CA-6738,False,False,Black,500,375,0,0,None,None,None,None,0,None,M ,None,None,None,2008-04-30 00:00:00,None,None,eabb9a92-fa07-4eab-8955-f0517b4a4ca7,2014-02-08 10:01:36.827000
319,HL Crankarm,CA-7457,False,False,Black,500,375,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,7d3fd384-4f29-484b-86fa-4206e276fe58,2014-02-08 10:01:36.827000
320,Chainring Bolts,CB-2903,False,False,Silver,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,7be38e48-b7d6-4486-888e-f53c26735101,2014-02-08 10:01:36.827000
321,Chainring Nut,CN-6137,False,False,Silver,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,3314b1d7-ef69-4431-b6dd-dc75268bd5df,2014-02-08 10:01:36.827000
322,Chainring,CR-7833,False,False,Black,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,f0ac2c4d-1a1f-4e3c-b4d9-68aea0ec1ce4,2014-02-08 10:01:36.827000
323,Crown Race,CR-9981,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,51a32ca6-65a1-4c31-af2b-d9e4f5d631d4,2014-02-08 10:01:36.827000
324,Chain Stays,CS-2812,True,False,None,1000,750,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,fe0678ed-aef2-4c58-a450-8151cc24ddd8,2014-02-08 10:01:36.827000
325,Decal 1,DC-8732,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,05ce123c-a402-478e-ae9b-75d7727aeaad,2014-02-08 10:01:36.827000
326,Decal 2,DC-9824,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a56851f9-1cd7-4e2f-8779-2e773e1b5209,2014-02-08 10:01:36.827000
327,Down Tube,DT-2377,True,False,None,800,600,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,1dad47dd-e259-42b8-b8b4-15a0b7d21b2f,2014-02-08 10:01:36.827000
328,Mountain End Caps,EC-M092,True,False,None,1000,750,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,6070b1ea-59b7-4f8b-950f-2be07d00449d,2014-02-08 10:01:36.827000
329,Road End Caps,EC-R098,True,False,None,1000,750,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,88399d13-719e-4545-81d6-f0650f372fa2,2014-02-08 10:01:36.827000
330,Touring End Caps,EC-T209,True,False,None,1000,750,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,6903ce24-d0ce-4191-9198-4231de37a929,2014-02-08 10:01:36.827000
331,Fork End,FE-3760,True,False,None,800,600,0,0,None,None,None,None,1,None,None,None,None,None,2008-04-30 00:00:00,None,None,c91d602e-da52-43d2-bd7e-eb110a9392b9,2014-02-08 10:01:36.827000
332,Freewheel,FH-2981,False,False,Silver,500,375,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,d864879a-e8b1-4f7b-bafa-1f136089c2c8,2014-02-08 10:01:36.827000
341,Flat Washer 1,FW-1000,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,a3f2fa3a-22e1-43d8-a131-a9b89c32d8ea,2014-02-08 10:01:36.827000
342,Flat Washer 6,FW-1200,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,331addec-e9b9-4a7e-9324-42069c2dcdc4,2014-02-08 10:01:36.827000
343,Flat Washer 2,FW-1400,False,False,None,1000,750,0,0,None,None,None,None,0,None,None,None,None,None,2008-04-30 00:00:00,None,None,84a3473e-ae26-4a21-81b9-60bb418a79b2,2014-02-08 10:01:36.827000
