salesorderid,creditcardid,cardtype
43659,16281,ColonialVoice
43660,5618,Vista
43661,1346,Distinguish
43662,10456,ColonialVoice
43663,4322,Vista
43664,806,ColonialVoice
43665,15232,Vista
43666,13349,Vista
43667,10370,SuperiorCard
43668,1566,ColonialVoice
43669,15538,Vista
43670,18017,Vista
43671,13693,Vista
43672,3980,Vista
43673,1417,Vista
43674,19204,SuperiorCard
43675,11886,Vista
43676,18153,ColonialVoice
43677,14030,SuperiorCard
43678,5093,Vista
43679,5439,SuperiorCard
43680,6653,Distinguish
43681,5301,SuperiorCard
43682,76,SuperiorCard
43683,13045,ColonialVoice
43684,267,SuperiorCard
43685,2519,Distinguish
43686,14612,ColonialVoice
43687,3235,Distinguish
43688,12399,ColonialVoice
43689,13054,Vista
43690,2337,Vista
43691,242,SuperiorCard
43692,7176,Vista
43693,8937,Vista
43694,7083,SuperiorCard
43695,10163,Vista
43696,1402,Distinguish
43697,4319,SuperiorCard
43698,16625,SuperiorCard
43699,5796,SuperiorCard
43700,12860,Distinguish
43701,11150,ColonialVoice
43702,8087,SuperiorCard
43703,9497,Vista
43704,1988,Distinguish
43705,7205,Vista
43706,10912,Distinguish
43707,19069,SuperiorCard
43708,4369,Vista
43709,15524,Distinguish
43710,5764,ColonialVoice
43711,3043,Vista
43712,6213,Vista
43713,16570,Distinguish
43714,15963,Vista
43715,7985,Distinguish
43716,5873,SuperiorCard
43717,5700,Distinguish
43718,3049,SuperiorCard
43719,5998,Distinguish
43720,2765,Distinguish
43721,11950,Vista
43722,12191,Distinguish
43723,16949,SuperiorCard
43724,6336,SuperiorCard
43725,6640,Distinguish
43726,8533,SuperiorCard
43727,11407,SuperiorCard
43728,15630,Distinguish
43729,2636,ColonialVoice
43730,13323,Distinguish
43731,14302,Vista
43732,10882,Distinguish
43733,10600,SuperiorCard
43734,15365,Distinguish
43735,6526,Vista
43736,1416,Distinguish
43738,12005,Distinguish
43740,18137,Distinguish
43741,4679,Distinguish
43742,17254,ColonialVoice
43743,1546,SuperiorCard
43744,12980,ColonialVoice
43745,9626,Vista
43746,5138,Vista
43747,16044,Distinguish
43748,14948,ColonialVoice
43749,12504,Distinguish
43750,15541,Vista
43751,711,Vista
43752,2736,SuperiorCard
43753,7588,Distinguish
43754,9734,Vista
43755,14614,Vista
43756,9528,SuperiorCard
43757,12801,SuperiorCard
43758,17093,Distinguish
43759,11314,ColonialVoice
43760,7485,ColonialVoice
43761,11678,SuperiorCard
43762,4503,ColonialVoice
43763,17110,Vista
43764,10644,SuperiorCard
43765,10245,SuperiorCard
43766,10469,ColonialVoice
43767,8810,ColonialVoice
43768,18040,SuperiorCard
43769,7388,SuperiorCard
43770,16136,SuperiorCard
43771,16934,Distinguish
43772,12834,SuperiorCard
43773,19057,SuperiorCard
43774,1311,Distinguish
43775,6918,Vista
43776,10653,Vista
43777,1850,ColonialVoice
43778,9930,Vista
43779,6901,ColonialVoice
43780,17097,Distinguish
43781,5269,ColonialVoice
43782,9916,SuperiorCard
43783,4651,Vista
43784,15794,Vista
43785,3584,Vista
43786,12315,SuperiorCard
43788,2999,Vista
43789,13143,SuperiorCard
43790,2574,Vista
43791,2480,SuperiorCard
43792,3696,SuperiorCard
43793,11981,ColonialVoice
43794,103,Vista
43795,10180,Distinguish
43796,14408,Distinguish
43797,3803,Distinguish
43798,15729,Distinguish
43799,10936,ColonialVoice
43800,1500,Vista
43801,10067,ColonialVoice
43802,15557,Distinguish
43803,2467,ColonialVoice
43804,13404,ColonialVoice
43805,7010,Vista
43806,15755,Distinguish
43807,16891,Vista
43808,10353,ColonialVoice
43809,14752,Vista
43810,12777,SuperiorCard
43811,8888,SuperiorCard
43812,7442,Vista
43813,10022,Vista
43814,1085,Vista
43815,12070,Vista
43816,14211,Vista
43817,10904,Vista
43818,13485,Vista
43819,5054,ColonialVoice
43820,12947,Vista
43821,6912,ColonialVoice
43822,17504,ColonialVoice
43823,7639,Vista
43824,7138,ColonialVoice
43825,16730,Distinguish
43826,13554,ColonialVoice
43827,7542,ColonialVoice
43828,17303,Distinguish
43829,3742,Vista
43830,11691,Vista
43831,3749,Distinguish
43832,10429,Distinguish
43833,15641,ColonialVoice
43834,16716,SuperiorCard
43835,2755,Distinguish
43836,6966,Distinguish
43838,1178,SuperiorCard
43839,15759,Distinguish
43840,16913,SuperiorCard
43841,5858,Distinguish
43842,17051,Vista
43843,13712,Distinguish
43844,5577,SuperiorCard
43845,2364,SuperiorCard
43846,5528,SuperiorCard
43847,181,ColonialVoice
43848,15882,Distinguish
43849,14559,SuperiorCard
43850,11072,ColonialVoice
43851,8979,ColonialVoice
43852,8043,SuperiorCard
43853,12279,Vista
43854,9855,Vista
43855,14454,Distinguish
43856,18049,SuperiorCard
43857,18260,ColonialVoice
43858,3274,Vista
43859,11840,SuperiorCard
43860,19181,SuperiorCard
43861,6675,ColonialVoice
43862,6777,Vista
43863,11717,SuperiorCard
43864,1896,SuperiorCard
43865,4623,SuperiorCard
43866,14363,SuperiorCard
43867,1359,ColonialVoice
43868,10628,Vista
43869,6386,Vista
43870,18323,ColonialVoice
43871,4941,ColonialVoice
43872,3368,ColonialVoice
43873,15090,SuperiorCard
43874,13917,SuperiorCard
43875,204,Distinguish
43876,6005,Distinguish
43877,5343,Vista
43878,7167,ColonialVoice
43879,14729,ColonialVoice
43880,18316,ColonialVoice
43881,569,Distinguish
43882,11282,SuperiorCard
43883,6126,ColonialVoice
43884,16665,Distinguish
43885,13246,SuperiorCard
43886,11745,Vista
43887,9478,Vista
43888,12102,ColonialVoice
43889,16905,Distinguish
43890,14184,Distinguish
43891,13366,ColonialVoice
43892,13468,SuperiorCard
43893,18480,SuperiorCard
43894,4842,Vista
43895,11011,ColonialVoice
43896,8991,ColonialVoice
43897,17861,Distinguish
43898,6452,SuperiorCard
43899,7475,ColonialVoice
43900,8663,SuperiorCard
43901,9973,Distinguish
43902,13160,SuperiorCard
43903,13420,ColonialVoice
43904,13104,Distinguish
43905,10234,SuperiorCard
43906,15321,ColonialVoice
43907,4835,Vista
43908,161,Vista
43909,11815,SuperiorCard
43910,8103,Distinguish
43911,10270,SuperiorCard
43912,12177,Vista
43913,15798,SuperiorCard
43914,1660,Vista
43915,11781,ColonialVoice
43916,6264,Vista
43917,2470,ColonialVoice
43918,11637,Distinguish
43919,19192,ColonialVoice
43920,13339,ColonialVoice
43921,1714,SuperiorCard
43922,10141,ColonialVoice
43923,9202,SuperiorCard
43925,16992,Vista
43926,17432,ColonialVoice
43927,10726,Distinguish
43928,14446,Vista
43929,6963,Vista
43930,18586,ColonialVoice
43931,6819,SuperiorCard
43932,269,SuperiorCard
43933,18382,SuperiorCard
43934,4693,Distinguish
43935,17801,Distinguish
43936,14720,ColonialVoice
43937,3460,ColonialVoice
43938,9400,SuperiorCard
43939,12524,Distinguish
43940,1400,SuperiorCard
43941,11686,Vista
43942,19065,ColonialVoice
43943,10093,SuperiorCard
43944,18160,Distinguish
43945,4559,ColonialVoice
43946,1301,Distinguish
43947,1890,ColonialVoice
43948,8816,Distinguish
43949,12099,Distinguish
43950,9620,SuperiorCard
43951,4649,SuperiorCard
43952,5213,ColonialVoice
43953,13222,Distinguish
43954,13315,ColonialVoice
43955,19068,Distinguish
43956,9306,Vista
43957,5365,Distinguish
43958,8948,ColonialVoice
43959,9071,ColonialVoice
43960,14955,SuperiorCard
43961,7808,ColonialVoice
43962,6829,ColonialVoice
43963,3262,Distinguish
43964,6168,SuperiorCard
43965,10047,Vista
43966,11169,ColonialVoice
43967,3376,SuperiorCard
43968,18833,SuperiorCard
43969,5284,SuperiorCard
43971,9820,SuperiorCard
43972,2888,SuperiorCard
43973,4947,Vista
43974,18889,Distinguish
43975,4964,Distinguish
43976,3080,Distinguish
43977,6914,SuperiorCard
43978,12614,Distinguish
43979,1937,Vista
43980,17271,ColonialVoice
43981,14104,Distinguish
43982,13227,ColonialVoice
43983,13899,Distinguish
43984,14141,Distinguish
43985,6184,Vista
43986,17988,SuperiorCard
43987,11724,Vista
43988,16105,Vista
43990,17355,Distinguish
43991,15438,Distinguish
43992,755,Distinguish
43993,7605,Distinguish
43994,7892,Distinguish
43995,17810,Distinguish
43996,19108,Vista
43997,12375,Vista
43998,16251,SuperiorCard
43999,1092,ColonialVoice
44000,11353,Distinguish
44001,10690,Distinguish
44002,8115,Vista
44003,6987,ColonialVoice
44004,14278,Distinguish
44005,12059,Vista
44006,9929,SuperiorCard
44007,1535,SuperiorCard
44008,1166,Vista
44009,10257,ColonialVoice
44010,1971,Vista
44011,19150,Distinguish
44012,15531,Distinguish
44013,9126,SuperiorCard
44014,14687,Vista
44015,1612,Distinguish
44016,18337,SuperiorCard
44017,18877,Vista
44018,1052,Distinguish
44019,16032,Distinguish
44020,8632,Distinguish
44021,11205,SuperiorCard
44022,7382,SuperiorCard
44023,2858,SuperiorCard
44024,3976,Distinguish
44025,6608,ColonialVoice
44027,2640,Vista
44028,3004,SuperiorCard
44029,13645,Vista
44030,8038,SuperiorCard
44031,5552,Distinguish
44032,3590,SuperiorCard
44033,9720,SuperiorCard
44034,2390,SuperiorCard
44035,8507,Distinguish
44036,2190,SuperiorCard
44037,18340,ColonialVoice
44038,17758,ColonialVoice
44039,8186,Vista
44040,2264,ColonialVoice
44041,10308,Vista
44042,10199,Distinguish
44043,9615,Vista
44044,10386,Vista
44045,6432,Distinguish
44046,9195,Distinguish
44047,9227,Vista
44048,6347,Vista
44049,560,ColonialVoice
44050,5892,Distinguish
44051,527,Vista
44052,16022,Vista
44053,17376,Vista
44054,7682,ColonialVoice
44056,11757,Vista
44057,18925,Vista
44058,5295,SuperiorCard
44059,4476,SuperiorCard
44060,1032,SuperiorCard
44061,2726,Vista
44062,11488,ColonialVoice
44063,4428,Vista
44064,9426,Distinguish
44065,5660,Vista
44066,11278,SuperiorCard
44067,13521,SuperiorCard
44068,10181,Distinguish
44070,16488,SuperiorCard
44071,4758,SuperiorCard
44072,11841,SuperiorCard
44073,15467,Distinguish
44074,17368,SuperiorCard
44075,13278,ColonialVoice
44076,15448,ColonialVoice
44077,6065,ColonialVoice
44078,7829,Vista
44079,19011,SuperiorCard
44080,7604,SuperiorCard
44081,5110,Vista
44082,8552,Vista
44083,7454,Vista
44084,17600,ColonialVoice
44085,4357,ColonialVoice
44086,12698,ColonialVoice
44087,8033,Distinguish
44088,11056,Vista
44089,18407,SuperiorCard
44090,17935,ColonialVoice
44091,16253,Vista
44092,7126,SuperiorCard
44093,3047,Vista
44094,17062,SuperiorCard
44095,11555,Distinguish
44096,14064,ColonialVoice
44097,19154,Distinguish
44098,18100,ColonialVoice
44099,11215,SuperiorCard
44100,7392,ColonialVoice
44101,19078,SuperiorCard
44102,17658,Distinguish
44103,319,SuperiorCard
44104,6955,Vista
44105,17132,ColonialVoice
44106,7079,Distinguish
44107,7160,ColonialVoice
44108,7092,SuperiorCard
44109,5220,Vista
44110,15369,ColonialVoice
44111,18813,Vista
44112,778,SuperiorCard
44113,12933,ColonialVoice
44114,7146,SuperiorCard
44115,14486,Vista
44116,17669,Vista
44117,4524,Vista
44118,18707,Distinguish
44119,18418,ColonialVoice
44120,18496,Distinguish
44121,12214,Distinguish
44122,4215,SuperiorCard
44123,13601,Distinguish
44124,5164,Vista
44125,8882,ColonialVoice
44126,7845,SuperiorCard
44127,7293,ColonialVoice
44128,17915,Distinguish
44129,3788,Vista
44130,7600,Distinguish
44131,8010,Vista
44133,18875,Distinguish
44134,18596,Distinguish
44135,18155,Vista
44136,12023,SuperiorCard
44137,1885,Vista
44138,17637,Distinguish
44139,8864,ColonialVoice
44140,15063,Distinguish
44141,11954,SuperiorCard
44142,9271,ColonialVoice
44143,10701,Vista
44144,9421,ColonialVoice
44146,6938,Vista
44147,5943,SuperiorCard
44148,11199,Distinguish
44149,1825,ColonialVoice
44150,11287,SuperiorCard
44151,11451,Distinguish
44152,4342,ColonialVoice
44153,8586,Distinguish
44154,12835,SuperiorCard
44155,11919,ColonialVoice
44156,17511,SuperiorCard
44157,11701,ColonialVoice
44158,11528,SuperiorCard
44159,8177,ColonialVoice
44160,9144,Vista
44161,4362,Vista
44162,4050,Vista
44163,1278,ColonialVoice
44164,2503,ColonialVoice
44165,4741,SuperiorCard
44166,13692,SuperiorCard
44167,6672,ColonialVoice
44168,7236,Distinguish
44169,11655,SuperiorCard
44170,9705,SuperiorCard
44171,12230,SuperiorCard
44172,8098,SuperiorCard
44173,11838,ColonialVoice
44174,310,Distinguish
44175,6910,SuperiorCard
44176,11704,Distinguish
44177,7938,ColonialVoice
44179,3086,Vista
44180,12527,Vista
44181,14800,ColonialVoice
44182,4582,Distinguish
44183,15165,Distinguish
44184,8099,ColonialVoice
44185,4990,ColonialVoice
44186,8499,ColonialVoice
44187,246,SuperiorCard
44188,1976,ColonialVoice
44189,3755,SuperiorCard
44190,8926,Distinguish
44191,4370,SuperiorCard
44192,2181,Vista
44193,8000,ColonialVoice
44194,16064,Vista
44195,9579,Distinguish
44196,1268,ColonialVoice
44197,10570,Distinguish
44198,4004,ColonialVoice
44199,11892,Distinguish
44200,16165,ColonialVoice
44201,13927,Distinguish
44202,5744,Vista
44203,13503,Distinguish
44204,18544,SuperiorCard
44205,17795,SuperiorCard
44206,15638,ColonialVoice
44207,16696,SuperiorCard
44209,14651,ColonialVoice
44210,5785,Distinguish
44211,14419,Distinguish
44212,12278,Distinguish
44213,14883,SuperiorCard
44214,7544,SuperiorCard
44215,1493,SuperiorCard
44216,1704,SuperiorCard
44217,4891,Vista
44218,14810,ColonialVoice
44219,2703,Vista
44220,14054,ColonialVoice
44221,18241,Distinguish
44222,14111,Distinguish
44223,15215,Vista
44224,6247,Distinguish
44225,8865,Distinguish
44226,12060,ColonialVoice
44227,4128,Distinguish
44228,9366,Vista
44229,14096,ColonialVoice
44230,3957,ColonialVoice
44231,7999,Distinguish
44232,9745,SuperiorCard
44233,7295,Vista
44234,529,Distinguish
44235,6671,ColonialVoice
44236,17403,SuperiorCard
44237,8232,Distinguish
44238,5401,Vista
44239,8321,ColonialVoice
44240,7098,Distinguish
44241,2875,SuperiorCard
44242,12583,Distinguish
44243,13200,ColonialVoice
44244,2694,Vista
44245,9841,Vista
44246,11607,Distinguish
44247,10639,Vista
44248,14291,SuperiorCard
44250,9038,ColonialVoice
44251,15032,Vista
44252,18450,Distinguish
44253,6378,Distinguish
44254,7854,ColonialVoice
44255,14364,SuperiorCard
44256,2630,Distinguish
44257,2301,ColonialVoice
44258,13999,ColonialVoice
44259,10251,ColonialVoice
44260,13744,Vista
44261,15042,Distinguish
44262,11790,SuperiorCard
44263,1578,ColonialVoice
44264,14144,ColonialVoice
44265,14031,Distinguish
44266,9440,ColonialVoice
44267,2013,SuperiorCard
44268,8173,Vista
44269,18016,ColonialVoice
44270,5372,Vista
44271,10454,Vista
44272,13322,Vista
44273,4619,Vista
44274,14496,SuperiorCard
44275,9584,SuperiorCard
44276,13646,Distinguish
44278,13348,ColonialVoice
44279,3396,Vista
44280,9540,SuperiorCard
44281,4322,Vista
44282,1346,Distinguish
44283,10456,ColonialVoice
44284,15232,Vista
44285,806,ColonialVoice
44286,13349,Vista
44287,10370,SuperiorCard
44288,1566,ColonialVoice
44289,18017,Vista
44290,18502,SuperiorCard
44291,15538,Vista
44292,15875,SuperiorCard
44293,1417,Vista
44294,3980,Vista
44295,19204,SuperiorCard
44296,11886,Vista
44297,18153,ColonialVoice
44298,14030,SuperiorCard
44299,5093,Vista
44300,5439,SuperiorCard
44301,6653,Distinguish
44302,1402,Distinguish
44303,10,SuperiorCard
44304,10163,Vista
44305,16281,ColonialVoice
44306,5301,SuperiorCard
44307,76,SuperiorCard
44308,13045,ColonialVoice
44309,267,SuperiorCard
44310,2519,Distinguish
44311,3235,Distinguish
44312,14612,ColonialVoice
44313,12399,ColonialVoice
44314,13054,Vista
44315,242,SuperiorCard
44316,2337,Vista
44317,7176,Vista
44318,8937,Vista
44319,7083,SuperiorCard
44320,3339,ColonialVoice
44321,13497,SuperiorCard
44322,638,SuperiorCard
44323,4953,Vista
44324,10780,Vista
44326,385,SuperiorCard
44327,13301,ColonialVoice
44328,13938,SuperiorCard
44329,1554,SuperiorCard
44330,1439,SuperiorCard
44331,13998,ColonialVoice
44332,3782,Distinguish
44333,8671,ColonialVoice
44334,18243,ColonialVoice
44335,8640,SuperiorCard
44336,15905,SuperiorCard
44337,7265,ColonialVoice
44338,5117,Vista
44339,15344,Distinguish
44340,18704,ColonialVoice
44341,14071,SuperiorCard
44342,3234,SuperiorCard
44344,16348,Distinguish
44346,1987,Vista
44347,5515,Distinguish
44348,5020,Vista
44349,15568,Vista
44350,6167,SuperiorCard
44351,6471,SuperiorCard
44352,1205,Distinguish
44353,7914,ColonialVoice
44354,1454,Vista
44355,18583,SuperiorCard
44356,6498,Distinguish
44357,4392,ColonialVoice
44358,2340,Distinguish
44359,15606,ColonialVoice
44360,10642,SuperiorCard
44362,14759,ColonialVoice
44363,16368,Vista
44364,2532,ColonialVoice
44365,1591,SuperiorCard
44366,2432,Distinguish
44367,3109,SuperiorCard
44368,1144,Vista
44369,729,Vista
44370,4977,Vista
44371,17113,Vista
44372,18423,Distinguish
44373,1726,Vista
44374,11125,Distinguish
44375,18781,Distinguish
44376,14705,SuperiorCard
44377,17091,ColonialVoice
44378,15388,Distinguish
44379,8026,Vista
44380,5581,SuperiorCard
44381,14622,SuperiorCard
44382,18164,ColonialVoice
44383,15910,Distinguish
44384,4706,Vista
44385,4628,Distinguish
44386,13589,Distinguish
44387,6854,SuperiorCard
44388,9943,Vista
44390,12756,Vista
44391,11782,ColonialVoice
44392,2136,Distinguish
44393,18224,Distinguish
44394,15383,ColonialVoice
44395,13948,ColonialVoice
44396,7023,Distinguish
44397,16306,Vista
44398,18617,Vista
44399,1860,Distinguish
44400,14545,SuperiorCard
44401,9364,ColonialVoice
44402,9186,ColonialVoice
44403,5769,ColonialVoice
44404,10519,ColonialVoice
44405,3979,ColonialVoice
44406,16823,ColonialVoice
44407,4736,Vista
44408,16501,ColonialVoice
44409,4886,SuperiorCard
44410,5259,Vista
44411,16746,ColonialVoice
44412,268,SuperiorCard
44413,16641,ColonialVoice
44414,15289,Distinguish
44415,9343,ColonialVoice
44416,2459,Vista
44417,12037,SuperiorCard
44418,14229,Vista
44419,14483,Distinguish
44420,13294,SuperiorCard
44421,412,SuperiorCard
44422,3375,SuperiorCard
44423,14047,Vista
44424,19207,ColonialVoice
44425,10385,Distinguish
44426,17857,ColonialVoice
44427,2488,SuperiorCard
44428,1347,Vista
44429,3412,SuperiorCard
44430,13221,Vista
44431,3439,ColonialVoice
44432,157,Vista
44433,9433,SuperiorCard
44434,2345,Vista
44435,9587,Distinguish
44436,18245,SuperiorCard
44437,6753,Vista
44438,17620,Vista
44439,2346,Vista
44440,12747,Vista
44441,13210,ColonialVoice
44442,2698,ColonialVoice
44443,11022,Distinguish
44444,7331,SuperiorCard
44445,2325,ColonialVoice
44447,1171,Distinguish
44448,14148,ColonialVoice
44449,5339,Vista
44450,18626,SuperiorCard
44451,17780,ColonialVoice
44452,1133,ColonialVoice
44453,7633,SuperiorCard
44454,8127,ColonialVoice
44455,15451,Vista
44456,4430,ColonialVoice
44457,2717,SuperiorCard
44458,15433,ColonialVoice
44459,988,ColonialVoice
44460,12452,Vista
44461,2806,Distinguish
44462,2742,SuperiorCard
44463,9373,Vista
44465,15909,Distinguish
44466,12890,ColonialVoice
44467,15127,ColonialVoice
44468,3176,ColonialVoice
44469,8583,Vista
44470,9405,Vista
44471,8021,ColonialVoice
44472,3737,Vista
44473,11028,ColonialVoice
44474,13859,Distinguish
44475,11628,Vista
44476,15106,SuperiorCard
44477,5004,Distinguish
44478,14041,Vista
44479,1245,SuperiorCard
44480,11742,Distinguish
44481,13246,SuperiorCard
44482,16871,ColonialVoice
44483,5758,Vista
44484,5577,SuperiorCard
44485,3088,SuperiorCard
44486,5528,SuperiorCard
44487,13712,Distinguish
44488,2364,SuperiorCard
44489,15882,Distinguish
44490,181,ColonialVoice
44491,1163,SuperiorCard
44492,14559,SuperiorCard
44493,4459,Vista
44494,8979,ColonialVoice
44495,12279,Vista
44496,11072,ColonialVoice
44497,9855,Vista
44498,14454,Distinguish
44499,18049,SuperiorCard
44500,11840,SuperiorCard
44501,19181,SuperiorCard
44502,3274,Vista
44503,1684,Distinguish
44504,18260,ColonialVoice
44505,1896,SuperiorCard
44506,6675,ColonialVoice
44507,6777,Vista
44508,11717,SuperiorCard
44509,4623,SuperiorCard
44510,9043,Vista
44511,14363,SuperiorCard
44512,10628,Vista
44513,1359,ColonialVoice
44514,6386,Vista
44515,18323,ColonialVoice
44516,972,Distinguish
44517,4941,ColonialVoice
44518,204,Distinguish
44519,13917,SuperiorCard
44520,15090,SuperiorCard
44521,3368,ColonialVoice
44522,6005,Distinguish
44523,5343,Vista
44524,7167,ColonialVoice
44525,14729,ColonialVoice
44526,18316,ColonialVoice
44527,11282,SuperiorCard
44528,569,Distinguish
44529,18831,SuperiorCard
44530,16665,Distinguish
44531,6126,ColonialVoice
44532,9478,Vista
44533,11745,Vista
44534,14184,Distinguish
