salesorderid,dia,mes,ano
43659,31,5,2011
43660,31,5,2011
43661,31,5,2011
43662,31,5,2011
43663,31,5,2011
43664,31,5,2011
43665,31,5,2011
43666,31,5,2011
43667,31,5,2011
43668,31,5,2011
43669,31,5,2011
43670,31,5,2011
43671,31,5,2011
43672,31,5,2011
43673,31,5,2011
43674,31,5,2011
43675,31,5,2011
43676,31,5,2011
43677,31,5,2011
43678,31,5,2011
43679,31,5,2011
43680,31,5,2011
43681,31,5,2011
43682,31,5,2011
43683,31,5,2011
43684,31,5,2011
43685,31,5,2011
43686,31,5,2011
43687,31,5,2011
43688,31,5,2011
43689,31,5,2011
43690,31,5,2011
43691,31,5,2011
43692,31,5,2011
43693,31,5,2011
43694,31,5,2011
43695,31,5,2011
43696,31,5,2011
43697,31,5,2011
43698,31,5,2011
43699,31,5,2011
43700,31,5,2011
43701,31,5,2011
43702,1,6,2011
43703,1,6,2011
43704,1,6,2011
43705,1,6,2011
43706,2,6,2011
43707,2,6,2011
43708,2,6,2011
43709,2,6,2011
43710,2,6,2011
43711,3,6,2011
43712,3,6,2011
43713,4,6,2011
43714,4,6,2011
43715,4,6,2011
43716,4,6,2011
43717,4,6,2011
43718,5,6,2011
43719,5,6,2011
43720,5,6,2011
43721,5,6,2011
43722,6,6,2011
43723,6,6,2011
43724,6,6,2011
43725,7,6,2011
43726,7,6,2011
43727,7,6,2011
43728,8,6,2011
43729,8,6,2011
43730,8,6,2011
43731,8,6,2011
43732,8,6,2011
43733,8,6,2011
43734,9,6,2011
43735,9,6,2011
43736,9,6,2011
43737,10,6,2011
43738,10,6,2011
43739,10,6,2011
43740,10,6,2011
43741,11,6,2011
43742,11,6,2011
43743,11,6,2011
43744,11,6,2011
43745,12,6,2011
43746,12,6,2011
43747,13,6,2011
43748,13,6,2011
43749,13,6,2011
43750,13,6,2011
43751,13,6,2011
43752,13,6,2011
43753,13,6,2011
43754,14,6,2011
43755,14,6,2011
43756,14,6,2011
43757,14,6,2011
43758,15,6,2011
43759,15,6,2011
43760,15,6,2011
43761,15,6,2011
43762,16,6,2011
43763,16,6,2011
43764,16,6,2011
43765,16,6,2011
43766,17,6,2011
43767,17,6,2011
43768,18,6,2011
43769,18,6,2011
43770,18,6,2011
43771,18,6,2011
43772,18,6,2011
43773,18,6,2011
43774,18,6,2011
43775,18,6,2011
43776,19,6,2011
43777,19,6,2011
43778,19,6,2011
43779,19,6,2011
43780,20,6,2011
43781,20,6,2011
43782,20,6,2011
43783,20,6,2011
43784,21,6,2011
43785,21,6,2011
43786,21,6,2011
43787,21,6,2011
43788,21,6,2011
43789,21,6,2011
43790,21,6,2011
43791,21,6,2011
43792,21,6,2011
43793,21,6,2011
43794,21,6,2011
43795,22,6,2011
43796,22,6,2011
43797,22,6,2011
43798,22,6,2011
43799,22,6,2011
43800,23,6,2011
43801,23,6,2011
43802,23,6,2011
43803,24,6,2011
43804,24,6,2011
43805,24,6,2011
43806,24,6,2011
43807,25,6,2011
43808,25,6,2011
43809,25,6,2011
43810,25,6,2011
43811,25,6,2011
43812,26,6,2011
43813,26,6,2011
43814,26,6,2011
43815,26,6,2011
43816,26,6,2011
43817,26,6,2011
43818,26,6,2011
43819,26,6,2011
43820,27,6,2011
43821,27,6,2011
43822,27,6,2011
43823,27,6,2011
43824,27,6,2011
43825,27,6,2011
43826,27,6,2011
43827,27,6,2011
43828,28,6,2011
43829,28,6,2011
43830,28,6,2011
43831,28,6,2011
43832,28,6,2011
43833,29,6,2011
43834,29,6,2011
43835,29,6,2011
43836,29,6,2011
43837,29,6,2011
43838,30,6,2011
43839,30,6,2011
43840,30,6,2011
43841,30,6,2011
43842,30,6,2011
43843,1,7,2011
43844,1,7,2011
43845,1,7,2011
43846,1,7,2011
43847,1,7,2011
43848,1,7,2011
43849,1,7,2011
43850,1,7,2011
43851,1,7,2011
43852,1,7,2011
43853,1,7,2011
43854,1,7,2011
43855,1,7,2011
43856,1,7,2011
43857,1,7,2011
43858,1,7,2011
43859,1,7,2011
43860,1,7,2011
43861,1,7,2011
43862,1,7,2011
43863,1,7,2011
43864,1,7,2011
43865,1,7,2011
43866,1,7,2011
43867,1,7,2011
43868,1,7,2011
43869,1,7,2011
43870,1,7,2011
43871,1,7,2011
43872,1,7,2011
43873,1,7,2011
43874,1,7,2011
43875,1,7,2011
43876,1,7,2011
43877,1,7,2011
43878,1,7,2011
43879,1,7,2011
43880,1,7,2011
43881,1,7,2011
43882,1,7,2011
43883,1,7,2011
