salesorderid,salesreasonid,name,reasontype
43697,5,Manufacturer,Other
43697,9,Quality,Other
43702,5,Manufacturer,Other
43702,9,Quality,Other
43703,5,Manufacturer,Other
43703,9,Quality,Other
43706,5,Manufacturer,Other
43706,9,Quality,Other
43707,5,Manufacturer,Other
43707,9,Quality,Other
43709,5,Manufacturer,Other
43709,9,Quality,Other
43710,5,Manufacturer,Other
43710,9,Quality,Other
43711,5,Manufacturer,Other
43711,9,Quality,Other
43712,5,Manufacturer,Other
43712,9,Quality,Other
43713,5,Manufacturer,Other
43713,9,Quality,Other
43714,5,Manufacturer,Other
43714,9,Quality,Other
43715,5,Manufacturer,Other
43715,9,Quality,Other
43716,5,Manufacturer,Other
43716,9,Quality,Other
43718,5,Manufacturer,Other
43718,9,Quality,Other
43719,5,Manufacturer,Other
43719,9,Quality,Other
43720,5,Manufacturer,Other
43720,9,Quality,Other
43721,5,Manufacturer,Other
43721,9,Quality,Other
43722,5,Manufacturer,Other
43722,9,Quality,Other
43724,5,Manufacturer,Other
43724,9,Quality,Other
43725,5,Manufacturer,Other
43725,9,Quality,Other
43727,5,Manufacturer,Other
43727,9,Quality,Other
43728,5,Manufacturer,Other
43728,9,Quality,Other
43731,5,Manufacturer,Other
43731,9,Quality,Other
43733,5,Manufacturer,Other
43733,9,Quality,Other
43734,5,Manufacturer,Other
43734,9,Quality,Other
43735,5,Manufacturer,Other
43735,9,Quality,Other
43737,5,Manufacturer,Other
43737,9,Quality,Other
43738,5,Manufacturer,Other
43738,9,Quality,Other
43739,5,Manufacturer,Other
43739,9,Quality,Other
43740,5,Manufacturer,Other
43740,9,Quality,Other
43741,5,Manufacturer,Other
43741,9,Quality,Other
43742,5,Manufacturer,Other
43742,9,Quality,Other
43744,5,Manufacturer,Other
43744,9,Quality,Other
43745,5,Manufacturer,Other
43745,9,Quality,Other
43746,5,Manufacturer,Other
43746,9,Quality,Other
43747,5,Manufacturer,Other
43747,9,Quality,Other
43748,5,Manufacturer,Other
43748,9,Quality,Other
43749,5,Manufacturer,Other
43749,9,Quality,Other
43750,5,Manufacturer,Other
43750,9,Quality,Other
43751,5,Manufacturer,Other
43751,9,Quality,Other
43752,5,Manufacturer,Other
43752,9,Quality,Other
43753,5,Manufacturer,Other
43753,9,Quality,Other
43754,5,Manufacturer,Other
43754,9,Quality,Other
43755,5,Manufacturer,Other
43755,9,Quality,Other
43758,5,Manufacturer,Other
43758,9,Quality,Other
43759,5,Manufacturer,Other
43759,9,Quality,Other
43760,5,Manufacturer,Other
43760,9,Quality,Other
43761,5,Manufacturer,Other
43761,9,Quality,Other
43762,5,Manufacturer,Other
43762,9,Quality,Other
43763,5,Manufacturer,Other
43763,9,Quality,Other
43764,5,Manufacturer,Other
43764,9,Quality,Other
43766,5,Manufacturer,Other
43766,9,Quality,Other
43768,5,Manufacturer,Other
43768,9,Quality,Other
43769,5,Manufacturer,Other
43769,9,Quality,Other
43770,5,Manufacturer,Other
43770,9,Quality,Other
43772,5,Manufacturer,Other
43772,9,Quality,Other
43773,5,Manufacturer,Other
43773,9,Quality,Other
43774,5,Manufacturer,Other
43774,9,Quality,Other
43776,5,Manufacturer,Other
43776,9,Quality,Other
43777,5,Manufacturer,Other
43777,9,Quality,Other
43780,5,Manufacturer,Other
43780,9,Quality,Other
43781,5,Manufacturer,Other
43781,9,Quality,Other
43782,5,Manufacturer,Other
43782,9,Quality,Other
43783,5,Manufacturer,Other
43783,9,Quality,Other
43784,5,Manufacturer,Other
43784,9,Quality,Other
43785,5,Manufacturer,Other
43785,9,Quality,Other
43786,5,Manufacturer,Other
43786,9,Quality,Other
43791,5,Manufacturer,Other
43791,9,Quality,Other
43792,5,Manufacturer,Other
43792,9,Quality,Other
43795,5,Manufacturer,Other
43795,9,Quality,Other
43797,5,Manufacturer,Other
43797,9,Quality,Other
43798,5,Manufacturer,Other
43798,9,Quality,Other
43799,5,Manufacturer,Other
43799,9,Quality,Other
43800,5,Manufacturer,Other
43800,9,Quality,Other
43801,5,Manufacturer,Other
43801,9,Quality,Other
43802,5,Manufacturer,Other
43802,9,Quality,Other
43803,5,Manufacturer,Other
43803,9,Quality,Other
43804,5,Manufacturer,Other
43804,9,Quality,Other
43806,5,Manufacturer,Other
43806,9,Quality,Other
43807,5,Manufacturer,Other
43807,9,Quality,Other
43808,5,Manufacturer,Other
43808,9,Quality,Other
43809,5,Manufacturer,Other
43809,9,Quality,Other
43812,5,Manufacturer,Other
43812,9,Quality,Other
43815,5,Manufacturer,Other
43815,9,Quality,Other
43816,5,Manufacturer,Other
43816,9,Quality,Other
43817,5,Manufacturer,Other
43817,9,Quality,Other
43818,5,Manufacturer,Other
43818,9,Quality,Other
43820,5,Manufacturer,Other
43820,9,Quality,Other
43821,5,Manufacturer,Other
43821,9,Quality,Other
43822,5,Manufacturer,Other
43822,9,Quality,Other
43825,5,Manufacturer,Other
43825,9,Quality,Other
43828,5,Manufacturer,Other
43828,9,Quality,Other
43829,5,Manufacturer,Other
43829,9,Quality,Other
43830,5,Manufacturer,Other
43830,9,Quality,Other
43832,5,Manufacturer,Other
43832,9,Quality,Other
43833,5,Manufacturer,Other
43833,9,Quality,Other
43838,5,Manufacturer,Other
43838,9,Quality,Other
43839,5,Manufacturer,Other
43839,9,Quality,Other
43841,5,Manufacturer,Other
43841,9,Quality,Other
43842,5,Manufacturer,Other
43842,9,Quality,Other
43918,5,Manufacturer,Other
43918,9,Quality,Other
43919,5,Manufacturer,Other
43919,9,Quality,Other
43920,5,Manufacturer,Other
43920,9,Quality,Other
43921,5,Manufacturer,Other
43921,9,Quality,Other
43922,5,Manufacturer,Other
43922,9,Quality,Other
43923,5,Manufacturer,Other
43923,9,Quality,Other
43924,5,Manufacturer,Other
43924,9,Quality,Other
43925,5,Manufacturer,Other
43925,9,Quality,Other
43927,5,Manufacturer,Other
43927,9,Quality,Other
43928,5,Manufacturer,Other
43928,9,Quality,Other
43930,5,Manufacturer,Other
43930,9,Quality,Other
43931,5,Manufacturer,Other
43931,9,Quality,Other
43932,5,Manufacturer,Other
43932,9,Quality,Other
43936,5,Manufacturer,Other
43936,9,Quality,Other
43937,5,Manufacturer,Other
43937,9,Quality,Other
43938,5,Manufacturer,Other
43938,9,Quality,Other
43939,5,Manufacturer,Other
43939,9,Quality,Other
43941,5,Manufacturer,Other
43941,9,Quality,Other
43942,5,Manufacturer,Other
43942,9,Quality,Other
43945,5,Manufacturer,Other
43945,9,Quality,Other
43946,5,Manufacturer,Other
43946,9,Quality,Other
43947,5,Manufacturer,Other
43947,9,Quality,Other
43949,5,Manufacturer,Other
43949,9,Quality,Other
43950,5,Manufacturer,Other
43950,9,Quality,Other
43951,5,Manufacturer,Other
43951,9,Quality,Other
43952,5,Manufacturer,Other
43952,9,Quality,Other
43954,5,Manufacturer,Other
43954,9,Quality,Other
43955,5,Manufacturer,Other
43955,9,Quality,Other
43957,5,Manufacturer,Other
43957,9,Quality,Other
43958,5,Manufacturer,Other
43958,9,Quality,Other
43961,5,Manufacturer,Other
43961,9,Quality,Other
43962,5,Manufacturer,Other
43962,9,Quality,Other
43963,5,Manufacturer,Other
43963,9,Quality,Other
43964,5,Manufacturer,Other
43964,9,Quality,Other
43967,5,Manufacturer,Other
43967,9,Quality,Other
43968,5,Manufacturer,Other
43968,9,Quality,Other
43969,5,Manufacturer,Other
43969,9,Quality,Other
43970,5,Manufacturer,Other
43970,9,Quality,Other
43971,5,Manufacturer,Other
43971,9,Quality,Other
43972,5,Manufacturer,Other
43972,9,Quality,Other
43973,5,Manufacturer,Other
43973,9,Quality,Other
43974,5,Manufacturer,Other
43974,9,Quality,Other
43975,5,Manufacturer,Other
43975,9,Quality,Other
43976,5,Manufacturer,Other
43976,9,Quality,Other
43977,5,Manufacturer,Other
43977,9,Quality,Other
43978,5,Manufacturer,Other
43978,9,Quality,Other
43981,5,Manufacturer,Other
43981,9,Quality,Other
43983,5,Manufacturer,Other
43983,9,Quality,Other
43984,5,Manufacturer,Other
43984,9,Quality,Other
43985,5,Manufacturer,Other
43985,9,Quality,Other
43986,5,Manufacturer,Other
43986,9,Quality,Other
