productmodelid,name,catalogdescription,rowguid,modifieddate
1,Classic Vest,None,29321d47-1e4c-4aac-887c-19634328c25e,2007-06-01 00:00:00
2,Cycling Cap,None,474fb654-3c96-4cb9-82df-2152eeffbdb0,2005-06-01 00:00:00
3,Full-Finger Gloves,None,a75483fe-3c47-4aa4-93cf-664b51192987,2006-06-01 00:00:00
4,Half-Finger Gloves,None,14b56f2a-d4aa-40a4-b9a2-984f165ed702,2006-06-01 00:00:00
5,HL Mountain Frame,None,fdd5407b-c2db-49d1-a86b-c13a2e3582a2,2005-06-01 00:00:00
6,HL Road Frame,None,4d332ecc-48b3-4e04-b7e7-227f3ac2a7ec,2002-05-02 00:00:00
7,HL Touring Frame,None,d60ed2a5-c100-4c54-89a1-531404c4a20f,2009-05-16 16:34:28.980000
8,LL Mountain Frame,None,65bf3f6d-bcf2-4db6-8515-fc5c57423037,2006-11-20 09:56:38.273000
9,LL Road Frame,None,ddc67a2f-024a-4446-9b54-3c679baba708,2005-06-01 00:00:00
10,LL Touring Frame,None,66c63844-2a24-473c-96d5-d3b3fd57d834,2009-05-16 16:34:28.980000
11,Long-Sleeve Logo Jersey,None,20efe3f1-a2f8-4dde-b74b-18265f61f863,2005-06-01 00:00:00
12,Men's Bib-Shorts,None,219e2f87-26a9-483b-b968-04578e943096,2006-06-01 00:00:00
13,Men's Sports Shorts,None,45fe0d77-6645-473c-a116-1232baea8d43,2006-06-01 00:00:00
14,ML Mountain Frame,None,0d48c51d-7603-4010-9265-0491805bb010,2006-06-01 00:00:00
15,ML Mountain Frame-W,None,aa77697c-6d1c-48f1-845c-3cb089498715,2006-06-01 00:00:00
16,ML Road Frame,None,3494e8ff-7daf-4860-abf6-97842048e272,2005-06-01 00:00:00
17,ML Road Frame-W,None,ca18ecfd-2023-4fa7-a556-0321153bca34,2006-06-01 00:00:00
18,Mountain Bike Socks,None,36b1a76a-dff3-4a55-86f9-65eb1cb18d7b,2005-06-01 00:00:00
19,Mountain-100,<?xml-stylesheet href="ProductDescription.xsl" type="text/xsl"?><p1:ProductDescription xmlns:p1="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription" xmlns:wm="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain" xmlns:wf="http://www.adventure-works.com/schemas/OtherFeatures" xmlns:html="http://www.w3.org/1999/xhtml" ProductModelID="19" ProductModelName="Mountain 100"><p1:Summary><html:p>Our top-of-the-line competition mountain bike. 
 				Performance-enhancing options include the innovative HL Frame, 
				super-smooth front suspension, and traction for all terrain.
