customerid,personid,storeid,territoryid,rowguid,modifieddate
1,None,934,1,3f5ae95e-b87d-4aed-95b4-c3797afcb74f,2014-09-12 11:15:07.263000
2,None,1028,1,e552f657-a9af-4a7d-a645-c429d6e02491,2014-09-12 11:15:07.263000
3,None,642,4,130774b1-db21-4ef3-98c8-c104bcd6ed6d,2014-09-12 11:15:07.263000
4,None,932,4,ff862851-1daa-4044-be7c-3e85583c054d,2014-09-12 11:15:07.263000
5,None,1026,4,83905bdc-6f5e-4f71-b162-c98da069f38a,2014-09-12 11:15:07.263000
6,None,644,4,1a92df88-bfa2-467d-bd54-fcb9e647fdd7,2014-09-12 11:15:07.263000
7,None,930,1,03e9273e-b193-448e-9823-fe0c44aeed78,2014-09-12 11:15:07.263000
8,None,1024,5,801368b1-4323-4bfa-8bea-5b5b1e4bd4a0,2014-09-12 11:15:07.263000
9,None,620,5,b900bb7f-23c3-481d-80da-c49a5bd6f772,2014-09-12 11:15:07.263000
10,None,928,6,cdb6698d-2ff1-4fba-8f22-60ad1d11dabd,2014-09-12 11:15:07.263000
11,None,1022,6,750f3495-59c4-48a0-80e1-e37ec60e77d9,2014-09-12 11:15:07.263000
12,None,622,6,947bcaf1-1f32-44f3-b9c3-0011f95fbe54,2014-09-12 11:15:07.263000
13,None,434,7,b0fa5854-2511-439b-a7ac-50c9c460b175,2014-09-12 11:15:07.263000
14,None,1020,8,2f96bedc-723d-468f-834b-b2b8ae79c849,2014-09-12 11:15:07.263000
15,None,624,9,0340737b-d4fa-4795-93aa-caeb8371bcf9,2014-09-12 11:15:07.263000
16,None,432,10,c9381589-d31c-4efe-8978-8d3449eb1f0f,2014-09-12 11:15:07.263000
17,None,1018,5,34db417f-1e0b-4408-9ff6-987e59d0d73c,2014-09-12 11:15:07.263000
18,None,1332,3,c04d6b4d-94c6-4c5c-a44c-b449c0ac1b45,2014-09-12 11:15:07.263000
19,None,430,1,69ae5d43-31be-4b76-bfbb-5a23c4788bbc,2014-09-12 11:15:07.263000
20,None,1016,1,e010c10a-f1c3-4bba-81ca-a7e083350400,2014-09-12 11:15:07.263000
21,None,1334,4,564e0b42-4609-43de-9881-914da433d82d,2014-09-12 11:15:07.263000
22,None,494,3,9774aed6-d673-412d-b481-2573e470b478,2014-09-12 11:15:07.263000
23,None,1014,4,733f8250-3251-4c2a-8c85-c285bb76b7b4,2014-09-12 11:15:07.263000
24,None,1336,4,c111e51d-178d-4dbd-a6ff-f1ccbf4b1aad,2014-09-12 11:15:07.263000
25,None,492,4,31d03546-fb2a-4488-890e-4709a659e3f0,2014-09-12 11:15:07.263000
26,None,1012,5,fd4898de-d128-4719-8c74-9f77605aac4a,2014-09-12 11:15:07.263000
27,None,1338,5,caca5149-d799-473b-847f-83f3613d3d1f,2014-09-12 11:15:07.263000
28,None,490,6,9b8a04a4-d909-4f49-b1c5-3de317d69b2a,2014-09-12 11:15:07.263000
29,None,1010,6,eca7c8fa-490b-4b97-9c32-043c90f789e8,2014-09-12 11:15:07.263000
30,None,1340,6,2b15dfb1-831e-49e7-b337-395798b129e7,2014-09-12 11:15:07.263000
31,None,942,7,effa209a-a110-4f94-887d-e50e44fb06ea,2014-09-12 11:15:07.263000
32,None,1008,8,b9a28813-542a-4fbf-ae79-bad64a5e133b,2014-09-12 11:15:07.263000
33,None,1342,9,e6d92b96-fa82-41c0-8945-66a8a5ec017b,2014-09-12 11:15:07.263000
34,None,940,10,9edda794-7862-4ff4-b8e2-528847cab2bd,2014-09-12 11:15:07.263000
35,None,1006,2,8d74b6b9-6c96-44a5-bec4-0e9736d191be,2014-09-12 11:15:07.263000
36,None,1344,2,53c0491d-8ae8-4b16-a830-2078fddf46ad,2014-09-12 11:15:07.263000
37,None,938,1,c6ebb29a-cc67-459c-90e3-339e0f912906,2014-09-12 11:15:07.263000
38,None,1004,1,e5eda3f3-4ef1-4806-bd36-e61f3cb2e044,2014-09-12 11:15:07.263000
39,None,1346,3,6808b1ed-3c9a-401d-b284-9ac31166d9eb,2014-09-12 11:15:07.263000
40,None,936,4,aa5e28f6-16c8-4d80-894e-17531f2cf972,2014-09-12 11:15:07.263000
41,None,1002,4,e1ba20ed-da19-4392-a8a8-c2e670438ffb,2014-09-12 11:15:07.263000
42,None,1348,4,64acd300-337d-4d39-a2c4-fd5972611934,2014-09-12 11:15:07.263000
43,None,1290,1,9e449d3e-5d79-4f65-a4f1-10dd3b0e0766,2014-09-12 11:15:07.263000
